grid_side,num_states,num_transitions,num_bad_states,success,bad_states_visited,total_cost,min_clearance,states_explored,planning_time_ms,replan_time_ms,approx_memory_bytes
5,25,85,1,1,0,7.23937,2,60,0.058187,0.021274,5960
5,25,80,1,1,0,8.14421,1.41421,48,0.038002,0.004051,5680
5,25,83,1,1,0,12.7058,2.23607,60,0.03984,0.011013,5848
5,25,84,1,0,0,0,0,49,0.037954,0.001129,5904
5,25,84,1,1,0,12.832,2,73,0.041334,0.026199,5904
8,64,231,2,1,0,14.4184,2,125,0.135225,0.02447,16008
8,64,230,2,1,0,16.6653,2.23607,129,0.107116,0.026736,15952
8,64,231,2,1,0,15.1488,3,138,0.11783,0.026782,16008
8,64,234,2,1,0,0.951895,4.12311,125,0.107996,0.002515,16176
8,64,233,2,1,0,9.07844,2.23607,120,0.106691,0.040152,16120
12,144,550,4,1,0,18.0087,4,302,0.300564,0.050158,37712
12,144,553,4,1,0,22.932,1,406,0.267934,0.217137,37880
12,144,548,4,1,0,26.0038,1,435,0.257406,0.225434,37600
12,144,545,4,0,0,0,0,386,0.263787,0.1159,37432
12,144,552,4,1,0,21.832,1,406,0.256968,0.233974,37824
16,256,1002,5,1,0,32.9269,1,809,0.54812,0.574009,68400
16,256,995,5,1,0,34.9331,1,816,0.511808,0.410043,68008
16,256,998,5,1,0,33.2954,1,831,0.516087,0.612674,68176
16,256,991,5,1,0,32.548,1.41421,735,0.468657,0.343785,67784
16,256,995,5,1,0,41.6542,1,967,0.510178,0.647067,68008
20,400,1575,6,1,0,33.7218,1,981,0.911339,0.454164,107400
20,400,1566,6,0,0,0,0,695,0.898794,0.016724,106896
20,400,1571,6,1,0,41.0691,1,1201,0.891976,0.686353,107176
20,400,1580,6,1,0,44.9438,1,1309,0.868331,0.765928,107680
20,400,1584,6,1,0,23.8089,1,676,0.894603,0.098658,107904
25,625,2477,8,0,0,0,0,1534,1.97828,0.439934,168712
25,625,2492,8,0,0,0,0,1164,1.79724,0.109824,169552
25,625,2486,8,1,0,43.9026,4,1624,1.60472,0.783336,169216
25,625,2483,8,1,0,59.3755,1,2244,1.65225,1.57616,169048
25,625,2494,8,1,0,48.0359,1,2035,1.91295,1.28876,169664
30,900,3603,10,0,0,0,0,1908,3.03966,0.478212,244968
30,900,3603,10,1,0,56.7434,6.32456,2765,3.09293,2.07611,244968
30,900,3607,10,0,0,0,0,1802,2.97993,0.31725,245192
30,900,3588,10,1,0,52.002,1,2725,3.07232,1.78509,244128
30,900,3612,10,1,0,63.0208,2.23607,2906,3.02885,2.01291,245472
